MeterId,StartDate,EndDate,Value (kWh),Notes
10443720000759353,2018-08-11 16:00:00,2018-08-11 17:00:00,1.33,
10443720000759353,2018-08-11 17:00:00,2018-08-11 18:00:00,2.804,
10443720000759353,2018-08-11 18:00:00,2018-08-11 19:00:00,2.708,
10443720000759353,2018-08-11 19:00:00,2018-08-11 20:00:00,2.767,
10443720000759353,2018-08-11 20:00:00,2018-08-11 21:00:00,3.321,
10443720000759353,2018-08-11 21:00:00,2018-08-11 22:00:00,3.946,
10443720000759353,2018-08-11 22:00:00,2018-08-11 23:00:00,3.304,
10443720000759353,2018-08-11 23:00:00,2018-08-12 00:00:00,2.504,
10443720000759353,2018-08-12 00:00:00,2018-08-12 01:00:00,4.617,
10443720000759353,2018-08-12 01:00:00,2018-08-12 02:00:00,1.524,
10443720000759353,2018-08-12 02:00:00,2018-08-12 03:00:00,1.096,
10443720000759353,2018-08-12 03:00:00,2018-08-12 04:00:00,1.637,
10443720000759353,2018-08-12 04:00:00,2018-08-12 05:00:00,1.094,
10443720000759353,2018-08-12 05:00:00,2018-08-12 06:00:00,1.259,
10443720000759353,2018-08-12 06:00:00,2018-08-12 07:00:00,1.626,
10443720000759353,2018-08-12 07:00:00,2018-08-12 08:00:00,0.396,
10443720000759353,2018-08-12 08:00:00,2018-08-12 09:00:00,2.672,
10443720000759353,2018-08-12 09:00:00,2018-08-12 10:00:00,2.061,
10443720000759353,2018-08-12 10:00:00,2018-08-12 11:00:00,3.879,
10443720000759353,2018-08-12 11:00:00,2018-08-12 12:00:00,3.142,
10443720000759353,2018-08-12 12:00:00,2018-08-12 13:00:00,1.333,
10443720000759353,2018-08-12 13:00:00,2018-08-12 14:00:00,2.01,
10443720000759353,2018-08-12 14:00:00,2018-08-12 15:00:00,2.289,
10443720000759353,2018-08-12 15:00:00,2018-08-12 16:00:00,2.716,
10443720000759353,2018-08-12 16:00:00,2018-08-12 17:00:00,2.607,
10443720000759353,2018-08-12 17:00:00,2018-08-12 18:00:00,3.637,
10443720000759353,2018-08-12 18:00:00,2018-08-12 19:00:00,4.109,
10443720000759353,2018-08-12 19:00:00,2018-08-12 20:00:00,2.864,
10443720000759353,2018-08-12 20:00:00,2018-08-12 21:00:00,1.983,
10443720000759353,2018-08-12 21:00:00,2018-08-12 22:00:00,2.176,
10443720000759353,2018-08-12 22:00:00,2018-08-12 23:00:00,1.925,
10443720000759353,2018-08-12 23:00:00,2018-08-13 00:00:00,2.839,
10443720000759353,2018-08-13 00:00:00,2018-08-13 01:00:00,3.346,
10443720000759353,2018-08-13 01:00:00,2018-08-13 02:00:00,2.681,
10443720000759353,2018-08-13 02:00:00,2018-08-13 03:00:00,2.029,
10443720000759353,2018-08-13 03:00:00,2018-08-13 04:00:00,1.159,
10443720000759353,2018-08-13 04:00:00,2018-08-13 05:00:00,1.681,
10443720000759353,2018-08-13 05:00:00,2018-08-13 06:00:00,1.161,
10443720000759353,2018-08-13 06:00:00,2018-08-13 07:00:00,1.694,
10443720000759353,2018-08-13 07:00:00,2018-08-13 08:00:00,1.067,
10443720000759353,2018-08-13 08:00:00,2018-08-13 09:00:00,0.541,
10443720000759353,2018-08-13 09:00:00,2018-08-13 10:00:00,2.035,
10443720000759353,2018-08-13 10:00:00,2018-08-13 11:00:00,1.817,
10443720000759353,2018-08-13 11:00:00,2018-08-13 12:00:00,2.993,
10443720000759353,2018-08-13 12:00:00,2018-08-13 13:00:00,2.071,
10443720000759353,2018-08-13 13:00:00,2018-08-13 14:00:00,3.162,
10443720000759353,2018-08-13 14:00:00,2018-08-13 15:00:00,3.147,
10443720000759353,2018-08-13 15:00:00,2018-08-13 16:00:00,1.569,
10443720000759353,2018-08-13 16:00:00,2018-08-13 17:00:00,1.595,
10443720000759353,2018-08-13 17:00:00,2018-08-13 18:00:00,1.207,
10443720000759353,2018-08-13 18:00:00,2018-08-13 19:00:00,1.686,
10443720000759353,2018-08-13 19:00:00,2018-08-13 20:00:00,1.453,
10443720000759353,2018-08-13 20:00:00,2018-08-13 21:00:00,1.07,
10443720000759353,2018-08-13 21:00:00,2018-08-13 22:00:00,0.863,
10443720000759353,2018-08-13 22:00:00,2018-08-13 23:00:00,2.142,
10443720000759353,2018-08-13 23:00:00,2018-08-14 00:00:00,1.779,
10443720000759353,2018-08-14 00:00:00,2018-08-14 01:00:00,1.673,
10443720000759353,2018-08-14 01:00:00,2018-08-14 02:00:00,1.623,
10443720000759353,2018-08-14 02:00:00,2018-08-14 03:00:00,1.192,
10443720000759353,2018-08-14 03:00:00,2018-08-14 04:00:00,1.874,
10443720000759353,2018-08-14 04:00:00,2018-08-14 05:00:00,0.776,
10443720000759353,2018-08-14 05:00:00,2018-08-14 06:00:00,1.155,
10443720000759353,2018-08-14 06:00:00,2018-08-14 07:00:00,0.205,
10443720000759353,2018-08-14 07:00:00,2018-08-14 08:00:00,1.472,
10443720000759353,2018-08-14 08:00:00,2018-08-14 09:00:00,0.809,
10443720000759353,2018-08-14 09:00:00,2018-08-14 10:00:00,0.718,
10443720000759353,2018-08-14 10:00:00,2018-08-14 11:00:00,2.565,
10443720000759353,2018-08-14 11:00:00,2018-08-14 12:00:00,2.614,
10443720000759353,2018-08-14 12:00:00,2018-08-14 13:00:00,2.57,
10443720000759353,2018-08-14 13:00:00,2018-08-14 14:00:00,3.76,
10443720000759353,2018-08-14 14:00:00,2018-08-14 15:00:00,2.466,
10443720000759353,2018-08-14 15:00:00,2018-08-14 16:00:00,2.288,
10443720000759353,2018-08-14 16:00:00,2018-08-14 17:00:00,2.833,
10443720000759353,2018-08-14 17:00:00,2018-08-14 18:00:00,2.049,
10443720000759353,2018-08-14 18:00:00,2018-08-14 19:00:00,2.577,
10443720000759353,2018-08-14 19:00:00,2018-08-14 20:00:00,2.02,
10443720000759353,2018-08-14 20:00:00,2018-08-14 21:00:00,2.112,
10443720000759353,2018-08-14 21:00:00,2018-08-14 22:00:00,2.252,
10443720000759353,2018-08-14 22:00:00,2018-08-14 23:00:00,2.418,
10443720000759353,2018-08-14 23:00:00,2018-08-15 00:00:00,2.195,
10443720000759353,2018-08-15 00:00:00,2018-08-15 01:00:00,2.114,
10443720000759353,2018-08-15 01:00:00,2018-08-15 02:00:00,1.271,
10443720000759353,2018-08-15 02:00:00,2018-08-15 03:00:00,1.877,
10443720000759353,2018-08-15 03:00:00,2018-08-15 04:00:00,1.282,
10443720000759353,2018-08-15 04:00:00,2018-08-15 05:00:00,1.847,
10443720000759353,2018-08-15 05:00:00,2018-08-15 06:00:00,0.982,
10443720000759353,2018-08-15 06:00:00,2018-08-15 07:00:00,1.441,
10443720000759353,2018-08-15 07:00:00,2018-08-15 08:00:00,1.786,
10443720000759353,2018-08-15 08:00:00,2018-08-15 09:00:00,1.8,
10443720000759353,2018-08-15 09:00:00,2018-08-15 10:00:00,1.798,
